student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,164,81.2,,leader,vision_front,
STU002,Student002,M,156,57.6,,,,
STU003,Student003,F,141,91.2,,,,
STU004,Student004,M,187,79.8,,,,
STU005,Student005,F,,88.6,0.6,,,
STU006,Student006,M,153,96.4,,,,
STU007,Student007,F,153,,,,,
STU008,Student008,M,160,97.7,,,,
STU009,Student009,F,188,97.6,,,,
STU010,Student010,M,,99.1,0.6,,,
STU011,Student011,F,163,89.4,poor,,,
STU012,Student012,M,150,52.4,,leader,,
STU013,Student013,F,135,91.3,,,,
STU014,Student014,M,188,,,,,
STU015,Student015,F,,64.0,,,,
STU016,Student016,M,150,86.6,,,,
STU017,Student017,F,137,60.3,,,,
STU018,Student018,M,144,57.0,,,,
STU019,Student019,F,139,99.6,,,,
STU020,Student020,M,,100.0,0.6,,,
STU021,Student021,F,173,,,,,
STU022,Student022,M,133,78.8,poor,,,
STU023,Student023,F,135,99.8,,,,
STU024,Student024,M,188,94.5,,,,
