student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,学生丁001,F,154,91.6,,leader,vision_front,
STU002,学生丂002,M,173,76.3,,,,
STU003,学生七003,F,131,61.0,,,,
STU004,学生丄004,M,180,97.5,,,,
STU005,学生丅005,F,142,79.0,0.6,,,
STU006,学生丆006,M,161,96.8,,,,特别关注
STU007,学生万007,F,171,60.7,,,,
STU008,学生丈008,M,175,66.4,,,,
STU009,学生三009,F,151,55.1,,,,
STU010,学生上010,M,150,57.1,0.6,leader,,
STU011,学生下011,F,146,61.3,poor,,,
STU012,学生丌012,M,167,77.7,,,,特别关注
STU013,学生不013,F,147,75.4,,,,
STU014,学生与014,M,173,96.2,,,,
STU015,学生丏015,F,164,72.0,0.6,,,
STU016,学生丐016,M,138,79.6,,,,
STU017,学生丑017,F,150,82.8,,,,
STU018,学生丒018,M,130,77.9,,,,特别关注
STU019,学生专019,F,186,71.9,,,,
STU020,学生一020,M,131,90.1,0.6,,,
