student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,176,51.3,,leader,vision_front,
STU002,Student002,M,136,55.2,,,,
STU003,Student003,F,140,62.0,,,,
STU004,Student004,M,183,62.4,,,,
STU005,Student005,F,175,82.4,0.6,,,
STU006,Student006,M,174,64.1,,,,
STU007,Student007,F,156,95.7,,,,
STU008,Student008,M,133,52.6,,,,
STU009,Student009,F,159,93.3,,,,
STU010,Student010,M,130,73.4,0.6,leader,,
STU011,Student011,F,130,95.9,poor,,,
STU012,Student012,M,141,63.4,,,,
STU013,Student013,F,156,73.5,,,,
STU014,Student014,M,176,59.8,,,,
STU015,Student015,F,166,59.0,0.6,,,
STU016,Student016,M,155,53.1,,,,
STU017,Student017,F,148,95.8,,,,
STU018,Student018,M,164,56.5,,,,
STU019,Student019,F,142,76.9,,,,
STU020,Student020,M,135,60.1,0.6,,,
