student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,173,91.8,,leader,vision_front,
STU002,Student002,M,152,98.7,,,,
STU003,Student003,F,177,55.7,,,,
STU004,Student004,M,142,94.4,,,,
STU005,Student005,F,159,51.8,0.6,,,
STU006,Student006,M,141,64.3,,,,
STU007,Student007,F,170,64.6,,,,
STU008,Student008,M,149,92.4,,,,
STU009,Student009,F,138,75.4,,,,
STU010,Student010,M,150,53.0,0.6,leader,,
STU011,Student011,F,179,56.7,poor,,,
STU012,Student012,M,159,81.5,,,,
STU013,Student013,F,156,89.9,,,,
STU014,Student014,M,173,91.7,,,,
STU015,Student015,F,149,70.0,0.6,,,
STU016,Student016,M,161,91.2,,,,
STU017,Student017,F,185,52.5,,,,
STU018,Student018,M,133,73.7,,,,
STU019,Student019,F,168,68.6,,,,
STU020,Student020,M,145,59.9,0.6,,,
