student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,179,89.7,,leader,vision_front,
STU002,Student002,M,173,96.4,,,,
STU003,Student003,F,142,87.6,,,,
STU004,Student004,M,163,64.4,,,,
STU005,Student005,F,190,78.5,0.6,,,
STU006,Student006,M,131,50.7,,,,
STU007,Student007,F,177,94.9,,,,
STU008,Student008,M,188,51.1,,,,
STU009,Student009,F,157,84.6,,,,
STU010,Student010,M,161,87.5,0.6,,,
STU011,Student011,F,187,78.3,poor,,,
STU012,Student012,M,174,59.0,,leader,,
STU013,Student013,F,181,81.1,,,,
STU014,Student014,M,148,89.7,,,,
STU015,Student015,F,185,56.9,0.6,,,
STU016,Student016,M,132,93.2,,,,
STU017,Student017,F,174,78.9,,,,
STU018,Student018,M,177,59.2,,,,
STU019,Student019,F,154,76.4,,,,
STU020,Student020,M,151,70.1,0.6,,,
STU021,Student021,F,145,58.6,,,,
STU022,Student022,M,155,88.6,poor,,,
STU023,Student023,F,132,99.7,,,,
STU024,Student024,M,190,52.9,,,,
