student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,181,53.4,,leader,vision_front,
STU002,Student002,M,164,83.7,,,,
STU003,Student003,F,151,60.1,,,,
STU004,Student004,M,134,93.8,,,,
STU005,Student005,F,172,79.8,0.6,,,
STU006,Student006,M,152,80.2,,,,
STU007,Student007,F,135,93.8,,,,
STU008,Student008,M,134,60.0,,,,
STU009,Student009,F,172,66.2,,,,
STU010,Student010,M,136,91.7,0.6,leader,,
STU011,Student011,F,168,93.5,poor,,,
STU012,Student012,M,183,83.4,,,,
STU013,Student013,F,130,60.4,,,,
STU014,Student014,M,146,70.1,,,,
STU015,Student015,F,146,53.5,0.6,,,
STU016,Student016,M,139,72.1,,,,
STU017,Student017,F,141,87.0,,,,
STU018,Student018,M,188,51.2,,,,
STU019,Student019,F,131,59.5,,,,
STU020,Student020,M,133,57.6,0.6,,,
