student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,147,82.3,,leader,vision_front,
STU002,Student002,M,179,87.5,,,,
STU003,Student003,F,133,80.0,,,,
STU004,Student004,M,148,70.4,,,,
STU005,Student005,F,131,99.9,0.6,,,
STU006,Student006,M,183,89.2,,,,
STU007,Student007,F,182,88.4,,,,
STU008,Student008,M,155,96.5,,,,
STU009,Student009,F,144,82.9,,,,
STU010,Student010,M,130,65.2,0.6,leader,,
STU011,Student011,F,150,74.0,poor,,,
STU012,Student012,M,180,91.6,,,,
STU013,Student013,F,181,65.7,,,,
STU014,Student014,M,189,76.6,,,,
STU015,Student015,F,181,67.7,0.6,,,
STU016,Student016,M,150,84.5,,,,
STU017,Student017,F,148,60.0,,,,
STU018,Student018,M,146,51.0,,,,
STU019,Student019,F,190,58.3,,,,
STU020,Student020,M,182,63.6,0.6,,,
