student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,141,62.0,,leader,vision_front,
STU002,Student002,M,166,59.9,,,,
STU003,Student003,F,172,73.2,,,,
STU004,Student004,M,168,61.1,,,,
STU005,Student005,F,168,85.8,0.6,,,
STU006,Student006,M,174,76.3,,,,
STU007,Student007,F,184,51.2,,,,
STU008,Student008,M,140,74.6,,,,
STU009,Student009,F,175,74.5,,,,
STU010,Student010,M,178,62.9,0.6,leader,,
STU011,Student011,F,189,53.3,poor,,,
STU012,Student012,M,136,68.1,,,,
STU013,Student013,F,157,61.7,,,,
STU014,Student014,M,161,91.7,,,,
STU015,Student015,F,174,88.0,0.6,,,
STU016,Student016,M,134,58.9,,,,
STU017,Student017,F,182,87.6,,,,
STU018,Student018,M,179,75.7,,,,
STU019,Student019,F,134,55.2,,,,
STU020,Student020,M,167,89.2,0.6,,,
