student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,165,72.0,,leader,vision_front,
STU002,Student002,M,174,51.9,,,,
STU003,Student003,F,149,85.1,,,,
STU004,Student004,M,135,77.5,,,,
STU005,Student005,F,183,99.8,0.6,,,
STU006,Student006,M,163,63.4,,,,
STU007,Student007,F,152,57.4,,,,
STU008,Student008,M,155,61.2,,,,
STU009,Student009,F,175,77.6,,,,
STU010,Student010,M,180,50.7,0.6,,,
STU011,Student011,F,140,51.3,poor,,,
STU012,Student012,M,131,77.3,,,,
STU013,Student013,F,132,88.5,,,,
STU014,Student014,M,169,62.4,,,,
STU015,Student015,F,178,92.1,0.6,,,
STU016,Student016,M,180,93.0,,,,
STU017,Student017,F,154,69.9,,,,
STU018,Student018,M,181,79.3,,,,
STU019,Student019,F,157,71.4,,,,
STU020,Student020,M,178,90.9,0.6,leader,,
STU021,Student021,F,148,65.8,,,,
STU022,Student022,M,136,55.8,poor,,,
STU023,Student023,F,185,76.4,,,,
STU024,Student024,M,177,74.6,,,,
STU025,Student025,F,144,55.7,0.6,,,
STU026,Student026,M,131,89.9,,,,
STU027,Student027,F,178,87.3,,,,
STU028,Student028,M,178,74.3,,,,
STU029,Student029,F,170,88.2,,,,
STU030,Student030,M,167,69.9,0.6,,,
STU031,Student031,F,181,73.5,,,,
STU032,Student032,M,167,77.5,,,,
STU033,Student033,F,165,95.6,poor,,,
STU034,Student034,M,168,86.1,,,,
STU035,Student035,F,168,53.5,0.6,,,
STU036,Student036,M,146,78.9,,,,
STU037,Student037,F,186,80.8,,,,
STU038,Student038,M,148,94.1,,,,
STU039,Student039,F,157,61.1,,,,
STU040,Student040,M,162,64.6,0.6,,,
