student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,158,59.4,,leader,vision_front,
STU002,Student002,M,133,99.1,,,,
STU003,Student003,F,146,59.3,,,,
STU004,Student004,M,148,55.3,,,,
STU005,Student005,F,157,61.1,0.6,,,
STU006,Student006,M,185,66.4,,,,
STU007,Student007,F,159,90.9,,,,
STU008,Student008,M,190,59.4,,,,
STU009,Student009,F,182,63.7,,,,
STU010,Student010,M,138,98.7,0.6,,,
STU011,Student011,F,145,61.0,poor,,,
STU012,Student012,M,141,81.5,,,,
STU013,Student013,F,161,55.1,,,,
STU014,Student014,M,142,80.2,,,,
STU015,Student015,F,141,77.5,0.6,leader,,
STU016,Student016,M,166,55.6,,,,
STU017,Student017,F,162,83.7,,,,
STU018,Student018,M,152,59.2,,,,
STU019,Student019,F,130,59.7,,,,
STU020,Student020,M,185,51.3,0.6,,,
STU021,Student021,F,176,81.5,,,,
STU022,Student022,M,135,57.9,poor,,,
STU023,Student023,F,184,81.6,,,,
STU024,Student024,M,174,54.0,,,,
STU025,Student025,F,146,96.6,0.6,,,
STU026,Student026,M,151,73.4,,,,
STU027,Student027,F,182,97.4,,,,
STU028,Student028,M,169,67.6,,,,
STU029,Student029,F,166,65.8,,,,
STU030,Student030,M,146,90.2,0.6,,,
