student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,187,99.1,,leader,vision_front,
STU002,Student002,M,167,72.2,,,,
STU003,Student003,F,137,76.1,,,,
STU004,Student004,M,151,96.8,,,,
STU005,Student005,F,155,81.5,0.6,,,
STU006,Student006,M,172,51.6,,,,
STU007,Student007,F,181,73.7,,,,
STU008,Student008,M,161,60.6,,,,
STU009,Student009,F,138,71.2,,,,
STU010,Student010,M,142,91.2,0.6,leader,,
STU011,Student011,F,151,84.4,poor,,,
STU012,Student012,M,168,76.2,,,,
STU013,Student013,F,146,75.3,,,,
STU014,Student014,M,181,80.9,,,,
STU015,Student015,F,184,55.7,0.6,,,
STU016,Student016,M,186,76.3,,,,
STU017,Student017,F,141,89.8,,,,
STU018,Student018,M,143,61.9,,,,
STU019,Student019,F,136,57.2,,,,
STU020,Student020,M,169,80.5,0.6,,,
