student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,145,92.6,,leader,vision_front,
STU001,Student001,F,145,92.6,,leader,vision_front,
STU002,Student002,M,170,50.2,,,,
STU003,Student003,F,136,64.1,,,,
STU004,Student004,M,183,94.8,,,,
STU005,Student005,F,166,63.7,0.6,,,
STU006,Student006,M,160,60.6,,,,
STU007,Student007,F,151,91.3,,,,
STU008,Student008,M,186,99.8,,,,
STU009,Student009,F,170,91.9,,,,
STU010,Student010,M,141,89.7,0.6,leader,,
STU011,Student011,F,152,67.1,poor,,,
STU012,Student012,M,152,68.8,,,,
STU013,Student013,F,144,91.9,,,,
STU014,Student014,M,143,71.3,,,,
STU015,Student015,F,147,95.2,0.6,,,
STU016,Student016,M,142,80.9,,,,
STU017,Student017,F,180,98.6,,,,
STU018,Student018,M,157,53.5,,,,
STU019,Student019,F,130,70.2,,,,
STU020,Student020,M,185,62.2,0.6,,,
