student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,141,59.1,,leader,vision_front,
STU002,Student002,M,159,63.7,,,,
STU003,Student003,F,167,93.1,,,,
STU004,Student004,M,170,89.4,,,,
STU005,Student005,F,183,78.0,0.6,,,
STU006,Student006,M,161,78.3,,,,
STU007,Student007,F,131,93.0,,,,
STU008,Student008,M,155,64.2,,,,
STU009,Student009,F,180,67.0,,,,
STU010,Student010,M,130,52.0,0.6,leader,,
STU011,Student011,F,161,85.5,poor,,,
STU012,Student012,M,153,62.6,,,,
STU013,Student013,F,186,98.1,,,,
STU014,Student014,M,132,64.6,,,,
STU015,Student015,F,143,70.5,0.6,,,
STU016,Student016,M,142,73.8,,,,
STU017,Student017,F,177,90.0,,,,
STU018,Student018,M,132,91.6,,,,
STU019,Student019,F,172,84.9,,,,
STU020,Student020,M,167,78.7,0.6,,,
