student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,164,72.1,,leader,vision_front,
STU002,Student002,M,187,60.2,,,,
STU003,Student003,F,170,74.5,,,,
STU004,Student004,M,177,97.1,,,,
STU005,Student005,F,172,96.9,0.6,,,
STU006,Student006,M,139,84.3,,,,
STU007,Student007,F,173,80.6,,,,
STU008,Student008,M,172,72.9,,,,
STU009,Student009,F,184,82.4,,,,
STU010,Student010,M,139,90.9,0.6,,,
STU011,Student011,F,135,89.1,poor,,,
STU012,Student012,M,143,90.2,,leader,,
STU013,Student013,F,145,84.6,,,,
STU014,Student014,M,159,88.4,,,,
STU015,Student015,F,141,71.0,0.6,,,
STU016,Student016,M,171,85.2,,,,
STU017,Student017,F,187,68.9,,,,
STU018,Student018,M,137,91.6,,,,
STU019,Student019,F,185,61.2,,,,
STU020,Student020,M,178,63.8,0.6,,,
STU021,Student021,F,137,84.2,,,,
STU022,Student022,M,156,51.1,poor,,,
STU023,Student023,F,181,87.6,,,,
STU024,Student024,M,184,92.8,,,,
STU025,Student025,F,183,73.5,0.6,,,
