student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,186,66.6,,leader,vision_front,
STU002,Student002,M,172,74.6,,,,
STU003,Student003,F,156,91.0,,,,
STU004,Student004,M,131,87.5,,,,
STU005,Student005,F,159,70.3,0.6,,,
STU006,Student006,M,152,85.5,,,,
STU007,Student007,F,149,54.4,,,,
STU008,Student008,M,136,87.1,,,,
STU009,Student009,F,181,60.7,,,,
STU010,Student010,M,159,53.6,0.6,leader,,
STU011,Student011,F,178,77.4,poor,,,
STU012,Student012,M,166,66.9,,,,
STU013,Student013,F,144,78.3,,,,
STU014,Student014,M,140,60.0,,,,
STU015,Student015,F,168,55.1,0.6,,,
STU016,Student016,M,186,63.9,,,,
STU017,Student017,F,173,58.9,,,,
STU018,Student018,M,160,71.2,,,,
STU019,Student019,F,159,98.0,,,,
STU020,Student020,M,177,60.7,0.6,,,
