student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,181,99.3,,leader,vision_front,
STU002,Student002,M,142,86.1,,,,
STU003,Student003,F,155,63.9,,,,
STU004,Student004,M,131,58.6,,,,
STU005,Student005,F,146,60.7,0.6,,,
STU006,Student006,M,150,77.5,,,,
STU007,Student007,F,139,95.4,,,,
STU008,Student008,M,130,91.1,,,,
STU009,Student009,F,179,99.4,,,,
STU010,Student010,M,174,72.2,0.6,leader,,
STU011,Student011,F,170,69.4,poor,,,
STU012,Student012,M,184,94.3,,,,
STU013,Student013,F,180,65.6,,,,
STU014,Student014,M,184,94.6,,,,
STU015,Student015,F,142,90.5,0.6,,,
STU016,Student016,M,146,57.3,,,,
STU017,Student017,F,186,82.0,,,,
STU018,Student018,M,156,76.8,,,,
STU019,Student019,F,167,59.8,,,,
STU020,Student020,M,157,66.3,0.6,,,
