student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,140,74.1,,leader,vision_front,
STU002,Student002,M,145,70.6,,,,
STU003,Student003,F,171,58.9,,,,
STU004,Student004,M,152,50.1,,,,
STU005,Student005,F,145,51.5,0.6,,,
STU006,Student006,M,175,67.4,,,,
STU007,Student007,F,185,80.0,,,,
STU008,Student008,M,187,71.5,,,,
STU009,Student009,F,151,55.5,,,,
STU010,Student010,M,144,70.5,0.6,leader,,
STU011,Student011,F,156,82.5,poor,,,
STU012,Student012,M,168,71.4,,,,
STU013,Student013,F,133,90.4,,,,
STU014,Student014,M,163,96.3,,,,
STU015,Student015,F,166,92.1,0.6,,,
STU016,Student016,M,158,86.1,,,,
STU017,Student017,F,161,66.2,,,,
STU018,Student018,M,153,83.4,,,,
STU019,Student019,F,136,52.3,,,,
STU020,Student020,M,185,65.9,0.6,,,
