student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,138,54.7,,leader,vision_front,
STU002,Student002,M,146,76.5,,,,
STU003,Student003,F,164,67.1,,,,
STU004,Student004,M,185,52.2,,,,
STU005,Student005,F,189,69.4,0.6,,,
STU006,Student006,M,186,63.5,,,,
STU007,Student007,F,184,79.4,,,,
STU008,Student008,M,170,61.4,,,,
STU009,Student009,F,189,70.0,,,,
STU010,Student010,M,174,94.0,0.6,leader,,
STU011,Student011,F,167,63.9,poor,,,
STU012,Student012,M,162,94.2,,,,
STU013,Student013,F,142,52.2,,,,
STU014,Student014,M,130,66.1,,,,
STU015,Student015,F,152,73.6,0.6,,,
STU016,Student016,M,131,91.8,,,,
STU017,Student017,F,139,78.9,,,,
STU018,Student018,M,131,75.7,,,,
STU019,Student019,F,180,66.6,,,,
STU020,Student020,M,136,59.5,0.6,,,
