student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,179,53.5,,leader,vision_front,
STU002,Student002,M,137,60.7,,,,
STU003,Student003,F,136,93.2,,,,
STU004,Student004,M,158,76.5,,,,
STU005,Student005,F,172,72.6,0.6,,,
STU006,Student006,M,163,67.4,,,,
STU007,Student007,F,132,51.4,,,,
STU008,Student008,M,166,55.1,,,,
STU009,Student009,F,150,74.7,,,,
STU010,Student010,M,165,61.0,0.6,leader,,
STU011,Student011,F,169,94.3,poor,,,
STU012,Student012,M,148,85.7,,,,
STU013,Student013,F,176,59.6,,,,
STU014,Student014,M,186,90.9,,,,
STU015,Student015,F,154,52.9,0.6,,,
STU016,Student016,M,150,87.7,,,,
STU017,Student017,F,142,53.5,,,,
STU018,Student018,M,154,94.0,,,,
STU019,Student019,F,171,64.8,,,,
STU020,Student020,M,144,89.4,0.6,,,
