student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,157,92.1,,leader,vision_front,
STU002,Student002,M,177,52.4,,,,
STU003,Student003,F,189,97.8,,,,
STU004,Student004,M,190,59.9,,,,
STU005,Student005,F,137,95.9,0.6,,,
STU006,Student006,M,133,66.0,,,,
STU007,Student007,F,154,85.4,,,,
STU008,Student008,M,176,56.4,,,,
STU009,Student009,F,146,59.6,,,,
STU010,Student010,M,131,95.9,0.6,leader,,
STU011,Student011,F,190,73.4,poor,,,
STU012,Student012,M,151,53.6,,,,
STU013,Student013,F,142,93.3,,,,
STU014,Student014,M,184,82.9,,,,
STU015,Student015,F,156,76.2,0.6,,,
STU016,Student016,M,161,88.8,,,,
STU017,Student017,F,133,98.3,,,,
STU018,Student018,M,186,50.9,,,,
STU019,Student019,F,178,79.2,,,,
STU020,Student020,M,148,54.2,0.6,,,
