student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,189,79.5,,leader,vision_front,
STU002,Student002,M,142,63.2,,,,
STU003,Student003,F,159,73.8,,,,
STU004,Student004,M,165,93.6,,,,
STU005,Student005,F,182,60.2,0.6,,,
STU006,Student006,M,171,54.9,,,,
STU007,Student007,F,147,99.7,,,,
STU008,Student008,M,158,62.6,,,,
STU009,Student009,F,165,72.6,,,,
STU010,Student010,M,152,78.3,0.6,leader,,
STU011,Student011,F,132,55.9,poor,,,
STU012,Student012,M,178,59.9,,,,
STU013,Student013,F,178,91.4,,,,
STU014,Student014,M,183,82.0,,,,
STU015,Student015,F,137,60.4,0.6,,,
STU016,Student016,M,177,95.9,,,,
STU017,Student017,F,166,81.7,,,,
STU018,Student018,M,171,76.7,,,,
STU019,Student019,F,136,63.4,,,,
STU020,Student020,M,175,62.5,0.6,,,
