student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,145,80.2,,leader,vision_front,
STU002,Student002,M,142,67.2,,,,
STU003,Student003,F,176,98.8,,,,
STU004,Student004,M,136,75.6,,,,
STU005,Student005,F,181,66.2,0.6,,,
STU006,Student006,M,173,68.8,,,,
STU007,Student007,F,142,83.5,,,,
STU008,Student008,M,144,62.2,,,,
STU009,Student009,F,139,56.2,,,,
STU010,Student010,M,175,61.7,0.6,,,
STU011,Student011,F,144,67.0,poor,,,
STU012,Student012,M,144,55.9,,,,
STU013,Student013,F,152,94.5,,,,
STU014,Student014,M,170,65.6,,,,
STU015,Student015,F,157,59.9,0.6,,,
STU016,Student016,M,136,65.6,,,,
STU017,Student017,F,182,87.8,,,,
STU018,Student018,M,139,70.0,,,,
STU019,Student019,F,141,93.2,,,,
STU020,Student020,M,179,71.8,0.6,leader,,
STU021,Student021,F,141,87.5,,,,
STU022,Student022,M,166,63.0,poor,,,
STU023,Student023,F,171,96.1,,,,
STU024,Student024,M,158,82.7,,,,
STU025,Student025,F,154,70.3,0.6,,,
STU026,Student026,M,156,73.9,,,,
STU027,Student027,F,172,84.5,,,,
STU028,Student028,M,176,78.2,,,,
STU029,Student029,F,182,91.2,,,,
STU030,Student030,M,173,81.4,0.6,,,
STU031,Student031,F,189,64.3,,,,
STU032,Student032,M,154,67.7,,,,
STU033,Student033,F,160,80.2,poor,,,
STU034,Student034,M,178,91.1,,,,
STU035,Student035,F,141,86.8,0.6,,,
STU036,Student036,M,180,59.0,,,,
STU037,Student037,F,134,81.0,,,,
STU038,Student038,M,136,61.7,,,,
STU039,Student039,F,136,65.2,,,,
STU040,Student040,M,170,53.7,0.6,,,
