student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,182,95.9,,leader,vision_front,
STU002,Student002,M,171,89.8,,,,
STU003,Student003,F,179,87.7,,,,
STU004,Student004,M,190,54.1,,,,
STU005,Student005,F,171,66.0,0.6,,,
STU006,Student006,M,166,75.3,,,,
STU007,Student007,F,164,55.0,,,,
STU008,Student008,M,152,66.2,,,,
STU009,Student009,F,149,65.8,,,,
STU010,Student010,M,183,99.5,0.6,,,
STU011,Student011,F,170,64.2,poor,,,
STU012,Student012,M,133,76.2,,,,
STU013,Student013,F,190,59.4,,,,
STU014,Student014,M,184,91.4,,,,
STU015,Student015,F,169,87.8,0.6,,,
STU016,Student016,M,142,66.9,,,,
STU017,Student017,F,156,58.7,,,,
STU018,Student018,M,183,59.3,,,,
STU019,Student019,F,189,55.1,,,,
STU020,Student020,M,153,96.6,0.6,leader,,
STU021,Student021,F,147,59.9,,,,
STU022,Student022,M,144,93.0,poor,,,
STU023,Student023,F,141,90.5,,,,
STU024,Student024,M,174,82.0,,,,
STU025,Student025,F,152,50.7,0.6,,,
STU026,Student026,M,137,66.9,,,,
STU027,Student027,F,130,94.5,,,,
STU028,Student028,M,163,97.3,,,,
STU029,Student029,F,163,50.4,,,,
STU030,Student030,M,174,82.3,0.6,,,
STU031,Student031,F,176,51.4,,,,
STU032,Student032,M,154,65.2,,,,
STU033,Student033,F,156,84.3,poor,,,
STU034,Student034,M,146,73.9,,,,
STU035,Student035,F,170,52.3,0.6,,,
STU036,Student036,M,155,78.7,,,,
STU037,Student037,F,156,87.0,,,,
STU038,Student038,M,153,52.2,,,,
STU039,Student039,F,130,68.9,,,,
STU040,Student040,M,131,55.6,0.6,,,
