student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,180,55.9,,leader,vision_front,
STU002,Student002,M,182,70.9,,,,
STU003,Student003,F,177,92.3,,,,
STU004,Student004,M,190,99.2,,,,
STU005,Student005,F,143,66.4,0.6,,,
STU006,Student006,M,145,58.7,,,,
STU007,Student007,F,145,59.1,,,,
STU008,Student008,M,162,59.3,,,,
STU009,Student009,F,169,64.7,,,,
STU010,Student010,M,184,77.9,0.6,,,
STU011,Student011,F,166,71.3,poor,,,
STU012,Student012,M,155,56.4,,,,
STU013,Student013,F,190,82.0,,,,
STU014,Student014,M,179,81.5,,,,
STU015,Student015,F,153,75.1,0.6,,,
STU016,Student016,M,190,96.9,,,,
STU017,Student017,F,146,72.8,,,,
STU018,Student018,M,175,81.0,,,,
STU019,Student019,F,171,89.7,,,,
STU020,Student020,M,134,97.8,0.6,leader,,
STU021,Student021,F,174,54.6,,,,
STU022,Student022,M,176,82.0,poor,,,
STU023,Student023,F,187,64.9,,,,
STU024,Student024,M,172,91.7,,,,
STU025,Student025,F,172,98.9,0.6,,,
STU026,Student026,M,136,60.8,,,,
STU027,Student027,F,150,58.3,,,,
STU028,Student028,M,146,55.0,,,,
STU029,Student029,F,179,60.0,,,,
STU030,Student030,M,157,95.6,0.6,,,
STU031,Student031,F,159,73.9,,,,
STU032,Student032,M,183,83.4,,,,
STU033,Student033,F,190,72.7,poor,,,
STU034,Student034,M,163,85.1,,,,
STU035,Student035,F,142,78.0,0.6,,,
STU036,Student036,M,133,61.8,,,,
STU037,Student037,F,140,50.4,,,,
STU038,Student038,M,189,51.9,,,,
STU039,Student039,F,190,94.9,,,,
STU040,Student040,M,139,94.7,0.6,,,
