student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,171,57.5,,leader,vision_front,
STU002,Student002,M,142,75.7,,,,
STU003,Student003,F,184,90.1,,,,
STU004,Student004,M,133,59.9,,,,
STU005,Student005,F,146,85.6,0.6,,,
STU006,Student006,M,139,57.5,,,,
STU007,Student007,F,144,54.2,,,,
STU008,Student008,M,172,76.6,,,,
STU009,Student009,F,158,50.2,,,,
STU010,Student010,M,190,66.2,0.6,,,
STU011,Student011,F,181,99.7,poor,,,
STU012,Student012,M,143,95.9,,,,
STU013,Student013,F,136,50.7,,,,
STU014,Student014,M,182,95.5,,,,
STU015,Student015,F,189,62.2,0.6,,,
STU016,Student016,M,150,95.2,,,,
STU017,Student017,F,164,97.9,,,,
STU018,Student018,M,160,77.3,,,,
STU019,Student019,F,161,78.9,,,,
STU020,Student020,M,135,78.6,0.6,,,
STU021,Student021,F,158,89.6,,,,
STU022,Student022,M,151,56.1,poor,,,
STU023,Student023,F,145,63.5,,,,
STU024,Student024,M,153,95.6,,,,
STU025,Student025,F,190,87.9,0.6,leader,,
STU026,Student026,M,181,65.8,,,,
STU027,Student027,F,171,63.4,,,,
STU028,Student028,M,153,65.1,,,,
STU029,Student029,F,168,98.8,,,,
STU030,Student030,M,167,60.2,0.6,,,
STU031,Student031,F,152,73.1,,,,
STU032,Student032,M,153,79.3,,,,
STU033,Student033,F,171,93.5,poor,,,
STU034,Student034,M,132,64.4,,,,
STU035,Student035,F,153,66.1,0.6,,,
STU036,Student036,M,144,95.3,,,,
STU037,Student037,F,183,81.6,,,,
STU038,Student038,M,132,83.1,,,,
STU039,Student039,F,130,57.2,,,,
STU040,Student040,M,149,58.2,0.6,,,
STU041,Student041,F,158,62.1,,,,
STU042,Student042,M,132,81.5,,,,
STU043,Student043,F,160,55.8,,,,
STU044,Student044,M,160,92.3,poor,,,
STU045,Student045,F,144,58.4,0.6,,,
STU046,Student046,M,147,99.3,,,,
STU047,Student047,F,133,59.4,,,,
STU048,Student048,M,130,79.2,,,,
STU049,Student049,F,149,53.7,,,,
STU050,Student050,M,136,55.3,0.6,,,
