student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,144,82.9,,leader,vision_front,
STU002,Student002,M,180,92.7,,,,
STU003,Student003,F,160,74.2,,,,
STU004,Student004,M,188,70.4,,,,
STU005,Student005,F,141,97.0,0.6,,,
STU006,Student006,M,176,72.6,,,,
STU007,Student007,F,146,78.3,,,,
STU008,Student008,M,176,88.4,,,,
STU009,Student009,F,179,64.3,,,,
STU010,Student010,M,190,75.3,0.6,,,
STU011,Student011,F,160,87.5,poor,,,
STU012,Student012,M,156,80.1,,,,
STU013,Student013,F,181,99.8,,,,
STU014,Student014,M,156,53.7,,,,
STU015,Student015,F,183,89.0,0.6,,,
STU016,Student016,M,165,66.4,,,,
STU017,Student017,F,135,59.0,,,,
STU018,Student018,M,183,52.1,,,,
STU019,Student019,F,145,56.2,,,,
STU020,Student020,M,169,64.3,0.6,,,
STU021,Student021,F,169,88.4,,,,
STU022,Student022,M,153,99.0,poor,,,
STU023,Student023,F,142,82.7,,,,
STU024,Student024,M,141,82.9,,,,
STU025,Student025,F,148,57.2,0.6,,,
STU026,Student026,M,170,95.0,,,,
STU027,Student027,F,133,89.1,,,,
STU028,Student028,M,166,99.4,,,,
STU029,Student029,F,180,62.9,,,,
STU030,Student030,M,150,82.4,0.6,leader,,
STU031,Student031,F,138,58.9,,,,
STU032,Student032,M,148,51.1,,,,
STU033,Student033,F,184,63.0,poor,,,
STU034,Student034,M,181,89.0,,,,
STU035,Student035,F,189,51.0,0.6,,,
STU036,Student036,M,176,93.8,,,,
STU037,Student037,F,134,67.1,,,,
STU038,Student038,M,149,94.9,,,,
STU039,Student039,F,186,59.7,,,,
STU040,Student040,M,161,79.6,0.6,,,
STU041,Student041,F,136,91.9,,,,
STU042,Student042,M,141,84.4,,,,
STU043,Student043,F,168,74.6,,,,
STU044,Student044,M,143,59.2,poor,,,
STU045,Student045,F,137,69.5,0.6,,,
STU046,Student046,M,172,86.2,,,,
STU047,Student047,F,146,98.7,,,,
STU048,Student048,M,137,67.1,,,,
STU049,Student049,F,142,65.1,,,,
STU050,Student050,M,181,79.0,0.6,,,
STU051,Student051,F,175,98.7,,,,
STU052,Student052,M,148,61.0,,,,
STU053,Student053,F,137,95.3,,,,
STU054,Student054,M,167,54.5,,,,
STU055,Student055,F,130,98.4,0.6,,,
STU056,Student056,M,130,76.3,,,,
STU057,Student057,F,168,96.2,,,,
STU058,Student058,M,171,57.7,,,,
STU059,Student059,F,168,82.0,,,,
STU060,Student060,M,187,73.3,0.6,,,
