student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,169,92.6,,leader,vision_front,
STU002,Student002,M,147,60.5,,,,
STU003,Student003,F,184,91.7,,,,
STU004,Student004,M,138,70.6,,,,
STU005,Student005,F,153,87.9,0.6,,,
STU006,Student006,M,132,61.6,,,,
STU007,Student007,F,189,56.8,,,,
STU008,Student008,M,160,88.1,,,,
STU009,Student009,F,138,56.8,,,,
STU010,Student010,M,143,77.6,0.6,,,
STU011,Student011,F,154,98.2,poor,,,
STU012,Student012,M,170,90.7,,,,
STU013,Student013,F,133,67.0,,,,
STU014,Student014,M,172,93.6,,,,
STU015,Student015,F,163,63.6,0.6,,,
STU016,Student016,M,185,77.2,,,,
STU017,Student017,F,175,61.7,,,,
STU018,Student018,M,150,99.6,,,,
STU019,Student019,F,185,69.6,,,,
STU020,Student020,M,163,69.2,0.6,,,
STU021,Student021,F,137,66.3,,,,
STU022,Student022,M,138,79.8,poor,,,
STU023,Student023,F,158,51.8,,,,
STU024,Student024,M,134,59.4,,,,
STU025,Student025,F,155,52.0,0.6,,,
STU026,Student026,M,147,72.3,,,,
STU027,Student027,F,161,83.9,,,,
STU028,Student028,M,185,67.9,,,,
STU029,Student029,F,184,52.4,,,,
STU030,Student030,M,167,83.2,0.6,,,
STU031,Student031,F,171,79.7,,,,
STU032,Student032,M,190,75.1,,,,
STU033,Student033,F,139,89.7,poor,,,
STU034,Student034,M,165,73.5,,,,
STU035,Student035,F,158,83.3,0.6,,,
STU036,Student036,M,153,96.1,,,,
STU037,Student037,F,141,76.9,,,,
STU038,Student038,M,148,56.8,,,,
STU039,Student039,F,164,63.9,,,,
STU040,Student040,M,144,52.9,0.6,leader,,
STU041,Student041,F,130,98.3,,,,
STU042,Student042,M,139,58.6,,,,
STU043,Student043,F,131,84.3,,,,
STU044,Student044,M,176,53.5,poor,,,
STU045,Student045,F,144,75.0,0.6,,,
STU046,Student046,M,182,93.9,,,,
STU047,Student047,F,143,79.8,,,,
STU048,Student048,M,154,75.3,,,,
STU049,Student049,F,170,63.4,,,,
STU050,Student050,M,155,84.6,0.6,,,
STU051,Student051,F,144,52.6,,,,
STU052,Student052,M,138,66.5,,,,
STU053,Student053,F,132,64.2,,,,
STU054,Student054,M,176,70.3,,,,
STU055,Student055,F,190,87.3,0.6,,,
STU056,Student056,M,136,53.4,,,,
STU057,Student057,F,130,92.0,,,,
STU058,Student058,M,185,79.0,,,,
STU059,Student059,F,182,81.3,,,,
STU060,Student060,M,130,70.0,0.6,,,
STU061,Student061,F,178,78.5,,,,
STU062,Student062,M,142,99.5,,,,
STU063,Student063,F,189,64.8,,,,
STU064,Student064,M,152,71.7,,,,
STU065,Student065,F,168,71.9,0.6,,,
STU066,Student066,M,165,59.3,poor,,,
STU067,Student067,F,142,66.6,,,,
STU068,Student068,M,153,92.6,,,,
STU069,Student069,F,131,61.9,,,,
STU070,Student070,M,158,69.2,0.6,,,
STU071,Student071,F,131,94.5,,,,
STU072,Student072,M,175,74.5,,,,
STU073,Student073,F,179,80.2,,,,
STU074,Student074,M,186,55.1,,,,
STU075,Student075,F,135,83.8,0.6,,,
STU076,Student076,M,159,81.8,,,,
STU077,Student077,F,179,50.4,poor,,,
STU078,Student078,M,171,60.9,,,,
STU079,Student079,F,189,61.3,,,,
STU080,Student080,M,174,67.7,0.6,,,
