student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,138,87.5,,leader,vision_front,
STU002,Student002,M,152,59.1,,,,
STU003,Student003,F,163,78.7,,,,
STU004,Student004,M,155,65.9,,,,
STU005,Student005,F,140,86.7,0.6,,,
STU006,Student006,M,184,67.7,,,,
STU007,Student007,F,175,68.6,,,,
STU008,Student008,M,181,79.9,,,,
STU009,Student009,F,133,81.8,,,,
STU010,Student010,M,166,62.7,0.6,,,
STU011,Student011,F,143,51.0,poor,,,
STU012,Student012,M,145,87.0,,,,
STU013,Student013,F,178,97.5,,,,
STU014,Student014,M,141,91.4,,,,
STU015,Student015,F,130,58.9,0.6,,,
STU016,Student016,M,143,73.9,,,,
STU017,Student017,F,133,76.8,,,,
STU018,Student018,M,140,79.3,,,,
STU019,Student019,F,165,82.6,,,,
STU020,Student020,M,186,82.0,0.6,leader,,
STU021,Student021,F,182,69.7,,,,
STU022,Student022,M,174,63.8,poor,,,
STU023,Student023,F,131,84.9,,,,
STU024,Student024,M,144,90.1,,,,
STU025,Student025,F,190,79.0,0.6,,,
STU026,Student026,M,155,59.5,,,,
STU027,Student027,F,150,82.2,,,,
STU028,Student028,M,141,71.8,,,,
STU029,Student029,F,154,72.0,,,,
STU030,Student030,M,152,97.4,0.6,,,
STU031,Student031,F,131,51.6,,,,
STU032,Student032,M,180,73.8,,,,
STU033,Student033,F,132,79.6,poor,,,
STU034,Student034,M,165,50.3,,,,
STU035,Student035,F,142,50.6,0.6,,,
STU036,Student036,M,161,94.7,,,,
STU037,Student037,F,186,89.7,,,,
STU038,Student038,M,184,80.6,,,,
STU039,Student039,F,186,52.9,,,,
STU040,Student040,M,183,97.1,0.6,,,
