student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,174,79.8,,leader,vision_front,
STU002,Student002,M,152,86.6,,,,
STU003,Student003,F,173,51.0,,,,
STU004,Student004,M,171,94.9,,,,
STU005,Student005,F,158,84.5,0.6,,,
STU006,Student006,M,176,82.4,,,,
STU007,Student007,F,160,64.4,,,,
STU008,Student008,M,176,58.8,,,,
STU009,Student009,F,185,57.0,,,,
STU010,Student010,M,130,85.7,0.6,leader,,
STU011,Student011,F,142,93.6,poor,,,
STU012,Student012,M,151,77.3,,,,
STU013,Student013,F,138,71.6,,,,
STU014,Student014,M,134,73.6,,,,
STU015,Student015,F,144,77.8,0.6,,,
STU016,Student016,M,186,97.4,,,,
STU017,Student017,F,168,58.1,,,,
STU018,Student018,M,163,59.2,,,,
STU019,Student019,F,161,72.0,,,,
STU020,Student020,M,142,59.7,0.6,,,
