student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,143,67.2,,leader,vision_front,
STU002,Student002,M,149,79.3,,,,
STU003,Student003,F,156,82.2,,,,
STU004,Student004,M,135,92.6,,,,
STU005,Student005,F,143,69.0,0.6,,,
STU006,Student006,M,172,94.6,,,,
STU007,Student007,F,177,83.2,,,,
STU008,Student008,M,188,61.2,,,,
STU009,Student009,F,189,86.5,,,,
STU010,Student010,M,141,90.5,0.6,leader,,
STU011,Student011,F,144,65.3,poor,,,
STU012,Student012,M,168,82.3,,,,
STU013,Student013,F,143,97.9,,,,
STU014,Student014,M,177,63.2,,,,
STU015,Student015,F,162,75.6,0.6,,,
STU016,Student016,M,186,90.7,,,,
STU017,Student017,F,168,68.6,,,,
STU018,Student018,M,183,52.1,,,,
STU019,Student019,F,144,98.7,,,,
STU020,Student020,M,148,82.7,0.6,,,
