student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,169,64.6,,leader,vision_front,
STU002,Student002,M,137,62.5,,,,
STU003,Student003,F,144,75.2,,,,
STU004,Student004,M,139,55.6,,,,
STU005,Student005,F,134,93.5,0.6,,,
STU006,Student006,M,189,55.1,,,,
STU007,Student007,F,141,76.2,,,,
STU008,Student008,M,174,64.6,,,,
STU009,Student009,F,168,98.3,,,,
STU010,Student010,M,166,82.0,0.6,leader,,
STU011,Student011,F,181,84.3,poor,,,
STU012,Student012,M,131,94.0,,,,
STU013,Student013,F,147,55.6,,,,
STU014,Student014,M,160,54.2,,,,
STU015,Student015,F,157,52.7,0.6,,,
STU016,Student016,M,172,70.0,,,,
STU017,Student017,F,145,92.5,,,,
STU018,Student018,M,143,83.0,,,,
STU019,Student019,F,183,99.0,,,,
STU020,Student020,M,147,87.2,0.6,,,
