student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,153,68.1,,leader,vision_front,
STU002,Student002,M,163,75.5,,,,
STU003,Student003,F,141,83.8,,,,
STU004,Student004,M,135,70.4,,,,
STU005,Student005,F,135,91.6,0.6,,,
STU006,Student006,M,145,71.1,,,,
STU007,Student007,F,140,71.2,,,,
STU008,Student008,M,161,54.2,,,,
STU009,Student009,F,183,94.3,,,,
STU010,Student010,M,167,56.1,0.6,leader,,
STU011,Student011,F,139,56.7,poor,,,
STU012,Student012,M,189,77.9,,,,
STU013,Student013,F,155,94.2,,,,
STU014,Student014,M,177,73.7,,,,
STU015,Student015,F,158,84.1,0.6,,,
STU016,Student016,M,175,95.1,,,,
STU017,Student017,F,157,95.3,,,,
STU018,Student018,M,181,72.1,,,,
STU019,Student019,F,144,61.6,,,,
STU020,Student020,M,186,85.5,0.6,,,
