student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,136,86.6,,leader,vision_front,
STU002,Student002,M,145,84.5,,,,
STU003,Student003,F,146,52.6,,,,
STU004,Student004,M,146,79.9,,,,
STU005,Student005,F,152,97.0,0.6,,,
STU006,Student006,M,167,89.2,,,,
STU007,Student007,F,142,53.0,,,,
STU008,Student008,M,153,64.6,,,,
STU009,Student009,F,150,68.2,,,,
STU010,Student010,M,163,57.7,0.6,leader,,
STU011,Student011,F,163,63.3,poor,,,
STU012,Student012,M,174,99.6,,,,
STU013,Student013,F,156,85.3,,,,
STU014,Student014,M,178,54.5,,,,
STU015,Student015,F,187,85.6,0.6,,,
STU016,Student016,M,170,66.6,,,,
STU017,Student017,F,132,54.9,,,,
STU018,Student018,M,174,92.2,,,,
STU019,Student019,F,164,77.3,,,,
STU020,Student020,M,143,53.5,0.6,,,
