student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,180,69.8,,leader,vision_front,
STU002,Student002,M,161,78.0,,,,
STU003,Student003,F,187,94.0,,,,
STU004,Student004,M,156,74.3,,,,
STU005,Student005,F,169,52.4,0.6,,,
STU006,Student006,M,153,61.9,,,,
STU007,Student007,F,131,81.4,,,,
STU008,Student008,M,143,98.1,,,,
STU009,Student009,F,174,85.3,,,,
STU010,Student010,M,182,98.2,0.6,leader,,
STU011,Student011,F,135,55.8,poor,,,
STU012,Student012,M,150,68.0,,,,
STU013,Student013,F,156,87.2,,,,
STU014,Student014,M,188,60.6,,,,
STU015,Student015,F,154,89.8,0.6,,,
STU016,Student016,M,146,84.1,,,,
STU017,Student017,F,141,63.7,,,,
STU018,Student018,M,147,81.5,,,,
STU019,Student019,F,178,79.8,,,,
STU020,Student020,M,188,69.0,0.6,,,
