student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,163,66.3,,leader,vision_front,
STU002,Student002,M,136,67.6,,,,
STU003,Student003,F,135,52.3,,,,
STU004,Student004,M,151,56.4,,,,
STU005,Student005,F,174,62.6,0.6,,,
STU006,Student006,M,145,90.4,,,,
STU007,Student007,F,190,65.1,,,,
STU008,Student008,M,168,84.4,,,,
STU009,Student009,F,162,51.5,,,,
STU010,Student010,M,151,54.2,0.6,leader,,
STU011,Student011,F,187,91.0,poor,,,
STU012,Student012,M,178,96.9,,,,
STU013,Student013,F,146,75.1,,,,
STU014,Student014,M,130,52.9,,,,
STU015,Student015,F,171,93.8,0.6,,,
STU016,Student016,M,153,75.8,,,,
STU017,Student017,F,166,82.8,,,,
STU018,Student018,M,138,80.4,,,,
STU019,Student019,F,173,99.5,,,,
STU020,Student020,M,164,52.8,0.6,,,
