student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,190,64.7,,leader,vision_front,
STU002,Student002,M,130,61.3,,,,
STU003,Student003,F,146,59.4,,,,
STU004,Student004,M,139,69.5,,,,
STU005,Student005,F,174,60.6,0.6,,,
STU006,Student006,M,137,81.2,,,,
STU007,Student007,F,145,88.3,,,,
STU008,Student008,M,161,90.6,,,,
STU009,Student009,F,147,79.4,,,,
STU010,Student010,M,165,91.1,0.6,leader,,
STU011,Student011,F,130,50.0,poor,,,
STU012,Student012,M,140,81.6,,,,
STU013,Student013,F,171,85.5,,,,
STU014,Student014,M,131,59.8,,,,
STU015,Student015,F,148,65.4,0.6,,,
STU016,Student016,M,184,88.5,,,,
STU017,Student017,F,157,59.0,,,,
STU018,Student018,M,137,68.1,,,,
STU019,Student019,F,168,88.8,,,,
STU020,Student020,M,190,68.5,0.6,,,
