student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,133,78.5,,leader,vision_front,
STU002,Student002,M,134,81.4,,,,
STU003,Student003,F,171,58.0,,,,
STU004,Student004,M,173,72.1,,,,
STU005,Student005,F,156,92.1,0.6,,,
STU006,Student006,M,155,69.9,,,,
STU007,Student007,F,138,64.9,,,,
STU008,Student008,M,190,92.9,,,,
STU009,Student009,F,140,98.0,,,,
STU010,Student010,M,164,87.8,0.6,leader,,
STU011,Student011,F,182,61.1,poor,,,
STU012,Student012,M,130,52.3,,,,
STU013,Student013,F,163,76.4,,,,
STU014,Student014,M,180,61.9,,,,
STU015,Student015,F,187,51.3,0.6,,,
STU016,Student016,M,177,76.1,,,,
STU017,Student017,F,190,86.2,,,,
STU018,Student018,M,172,64.2,,,,
STU019,Student019,F,178,92.3,,,,
STU020,Student020,M,189,85.0,0.6,,,
