student_id,name,gender,height_cm,score,vision,tags,needs,notes
STU001,Student001,F,180,58.3,,leader,vision_front,
STU002,Student002,M,171,95.4,,,,
STU003,Student003,F,143,68.6,,,,
STU004,Student004,M,149,96.3,,,,
STU005,Student005,F,165,86.0,0.6,,,
STU006,Student006,M,147,67.5,,,,
STU007,Student007,F,168,90.6,,,,
STU008,Student008,M,174,58.8,,,,
STU009,Student009,F,185,82.9,,,,
STU010,Student010,M,187,78.8,0.6,leader,,
STU011,Student011,F,139,73.4,poor,,,
STU012,Student012,M,166,58.8,,,,
STU013,Student013,F,134,52.6,,,,
STU014,Student014,M,186,75.4,,,,
STU015,Student015,F,169,67.1,0.6,,,
STU016,Student016,M,135,82.1,,,,
STU017,Student017,F,138,92.5,,,,
STU018,Student018,M,135,55.0,,,,
STU019,Student019,F,131,99.1,,,,
STU020,Student020,M,132,58.6,0.6,,,
